A.L. Yen & T.R. New,6000370
A.M. (A Musgrave )?,6000373
A.M. Darling or A.M. Parling (can't read),6000374
A.M. Douglas,6000381
A.M. Lea,5000529
A.M. Lea & H.J. Carter,6000377
A.M. McKinnon,1017373
A.M. Richards,1000914
A.M. Richards & B. Nurse,6000379
A.M. Richardson,6000451
A.M. Smith,1008192
A.M. Sundholm,1003267
"A.Musgrave & G.P. Whitley, Australian Museum",6000390
A.Musgrave & J McToe,6000392
A.Musgrave & P.Whitley,6000393
A.Musgrave & T.Campbell,6000394
A.Musgrave and Australian Museum Party,6000397
A.N. Burns,1003530
A.N. Burns & A. Musgrave,6000401
A.N. Burns :Waterhouse collection,6000403
A.N. Colefax,2000075
A.N. Dodd,6000406
A.N. Garcia Aldrete,6000407
A.P. Burgess,6000409
A.P. Dodd,6004947
A.R.,6000235
A.R. Brimblecombe,1025186
A.R. Gillogly,6000411
A.R. McCulloch,1000601
A.R. Mccullock,5000559
A.R. Nand,6000416
A.R. Ward,6000420
A.R. Woodhill,6000421
A.R.L.,6000418
A.S. & C.N. Smithers,6000422
A.S. & H.G. Smithers,6000423
A.S. Hunt,6000424
A.S. Le Scuef,6000425
A.S. Marshall,6000430
A.S. Meek,6000426
A.S. Olliff,1003164
A.S. Smithers,2000661
A.S. Ward,6000428
A.S.R,6000431
A.Sundholm & R. Besjak,6000436
A.T. Cassingham,6000282
A.U. Burns,6000441
A.W. Lea,6000442
A.W. Scott,6000444
A.W. Smith,6000445
AB  :G.A. Waterhouse collection,6000446
Achurch,1008121
Adams,6000457
Alan Manning,6000458
Alan Simmons,6000459
Alan Wheen,1008145
Albert H. Elston,6000336
Alejandro A. Valerio,1018774
Aletta Sophia Smithers,2000661
Alex Scott,6000460
Alex Watson,1018594
Alexander Leask,6000145
Alexander Noble Burns,1003530
Alexander Walker Scott,6000444
Alf Turner  :G.A. Waterhouse collection,6000462
Alfred F. Newton,6000318
Alfred Jefferis Turner,1003451
Alice Wells,10008345
Alisa Johnson,1010763
Alison Evans,1015010
Allan Glassop,1002789
Allen M. Sundholm,1003267
Alloway,6000463
Alphonso Neri Garcia Aldrete,6000407
AM/HEPR 14750,6000450
and Party,1006547
Anderson,5000543
Andreas Zwick,1020400
Andres Bianchi,1006539
Andrew Amos,6000468
Andrew Atkins,1011544
Andrew Boulton,6000469
Andrew Hay,1016435
Andrew Osborn,1022564
Angel,1023691
Angus,6000470
Anna Do,1005733
Anna G,6000471
Anna P.,6000472
Anon,6000473
Archer,6000474
Armstrong,6000475
Arthur M. Lea,6003217
Arturs Neboiss,6000066
Arwen & Tess Williams,6000476
AS & CN Smithers,6000454
Ashley,6000477
Ass. Prof. Elizabeth M. Exley,6001560
at faeces,6004891
Athol Boulton,6000478
"Aust. Mus., Terr. Ecol. Dept.",2000823
Aust. Mus.Expedition,2000824
Aust. Museum Party,6000482
Aust.Mus. N.W. Aust. Party,6000483
Aust.Mus.Exped.N.W.A.Qld,2000833
Austin,6000309
"Australasian Antarctic Expedition, 1911-1914",1001288
Australian Mueusm Party,6000207
Australian Museum,1004548
Australian Museum N.W. Aust Party,5000592
Australian Museum Party,5000596
AWT,6000456
B A Conroy,5000848
B Duckworth & A Solem,6000488
B Gibbons,1021464
B J Sinclair,5000862
B Rostrum,6000497
B Saykild,6000498
B Vile,2000953
B. & B. Williams,6000501
B. & G. Stoyles,6000502
B. A. Edwards,6000568
B. A. H.,1014954
B. Amaraa,1025463
B. B.,6000573
B. B. Lowery,6000574
B. Baehr,1014806
B. Bamford,6000506
B. Bamford :G.A. Waterhouse collection,6000507
B. B'Dwicz,6000505
B. Bertram,6000508
B. Bishop,6000299
B. Brandley,1008209
B. Branwhite,1018940
B. Brunet,6000509
B. C. Cole,6000575
B. Cantrell,6000617
B. Chadwick,6000511
B. Clark,6000512
B. Coaldrake,1022867
B. Crombie,1018208
B. Day,4004055
B. Day & D.K. McAlpine,6000515
B. Day & M. Gray,6000516
B. Day & W. Loh,6000522
B. Depalo,6000523
B. Dew,6000524
B. Dodd,6000525
B. Duckworth,6000513
"B. Duckworth, B.J. Day & D.K. McAlpine",6000527
B. FOREST,3000965
B. Gall,1023034
B. Gibbons,1021464
B. Gordon,1019307
B. Gower,6000528
B. Graham,1019308
B. Guy,6000529
B. H. Vipond,6000530
B. Habe,6000531
B. Hacobain,6000489
B. Hacobian,6000532
B. Hacobian & I.F.B. Common,6000533
B. Hall,6000579
B. Hamilton,1025184
B. Haren,5001073
B. Hooke,6000535
B. Hughes,1022921
B. Ingleby,6000536
B. J. Day,6000514
B. J. Marlow,6000495
B. J. Moulds,1004603
B. J. Sinclair,6000609
B. Jagol,1012838
B. Jardine,6000538
B. Johnson,1021765
B. Jones,1013442
B. Kent,6000539
B. L. & G. Stoyles,6000540
B. L. Stoyles,6000620
B. Lesouf,1003661
B. Livingston,6000543
B. Lowery,6000544
B. Luddeman,6000545
B. M. Massie,1018400
B. Mackenroth,6000546
B. Mannes,6000547
B. Marlow,6000510
B. Marlowe,6000549
B. Martin,1024784
B. Matlow,6000550
B. McMillan,6000551
B. Messmer,6000552
B. Middleton,6000553
B. Morrisby,6000554
B. P. Moore,6000627
B. Persson,1004060
B. Plomley,1025373
B. Prince,1021759
B. Quick,6000556
B. Rigby,6000557
B. Roberts,6000558
B. S. Cheary,1012674
B. Slarke,6000559
B. Speechley,6000560
B. Stoyles,6000561
B. Styles,6000562
B. Taylor,6000563
B. Vile,2000953
B. W. Salkilld,6000630
B. Walsh,6000564
B. White,6000565
B. Williams,5000847
B. Williams & G. A. Williams,6000485
B.& S. Stoyles,6000567
B.A. Conroy,5000848
B.A. Edwards,6000568
B.A. H.,1014954
B.B. Lowery,6000574
B.C. Cole,6000575
B.D. & K.A. Day,6000576
B.Day & D. Bickel,6000577
B.J. & C.J. Day,6000581
B.J. & R. Day,6000582
B.J. Day,1002962
B.J. Day & C.N. Smithers,6000585
B.J. Day & C.R. Day,6000586
B.J. Day & D.K. McAlpine  D. Bickel,6000589
B.J. Day & G.A. Holloway,6000590
B.J. Day & M. Gray,6000593
B.J. Day & M.R. Gray,6000595
B.J. Day & R. de Keyzer,6000596
B.J. day & W. Lol.,6000612
B.J. Day & W. Low,6000597
B.J. Day & Y. W. Loh,6000598
B.J. Day and D.K. McAlpine,6000599
B.J. Day and M.R. Gray,6000600
"B.J. Day, D Bickel &  D.K. McAlpine",6000601
"B.J. Day, D. Jenkins & D.K. McAlpine",6000602
"B.J. Day, D.K. McAlpine & R. de Keyzer",6000604
"B.J. Day, R. de Keyzer & K.C. Khoo",6000606
B.J. Marlow,6000495
B.J. Marlowe,6000643
B.J. Moulds,1004603
B.J. Sinclair,1014293
B.J.Day & K.C.Khoo,6000615
B.L. Jardine,6000618
B.L. Middleton,6001405
B.L.C. & G.M. Stoyles,6000621
B.L.C. Sloyles,6000622
B.L.C. Stoyles,6000620
B.L.C.S.,6000624
B.L.G. Sloyles,6000626
B.M. Massie,1018400
B.P. Moore,6000627
B.S. Cheary,1012674
B.T. Waterhouse,6000628
B.V. Timms,6000629
B.W. Miller,1018314
B.W. Salkilld,6000630
B.W. Sall Kild,6000631
Baigal Amaraa,1025463
Baker,6000637
Bancroft,5001967
Bancroft & Mackerras,6000639
Barnard,6000641
Barns,6000398
Barrett,6000346
Barry J. Day,5000711
Basedow,6000642
Basil J. Marlowe,6000643
Bates,6000644
Beaumont,6000645
Becvar,1014801
Beren Williams,6000499
Bernard Gall,1023034
Berthon,6000648
BERYL FOREST,3000965
Beuquat,6000650
Bev Jones,1013442
Biotica Aquatic Consultants,1021736
Bird,6000654
Bishop,6000299
"BJ Day, R de Keyzer & KC Khoo",6000633
BJ Marlow,6000634
Black,6000655
Blaxland,6003632
Bock & Parsons,6000661
Bock and Parsons,6000663
Bock Parsons,6000662
Boeadi,6000665
Bolton,6000666
Boris Branwhite,1018940
Bornemissza,6000667
Bornemisszs,6000668
Braddock,6000671
Bradley J. Sinclair,1014293
Bradshaw,6000672
British Museum (Natural History),1018114
Britton,6000673
Britton & Misko,6000674
Brooke,6000676
Brown,6000677
Bruce Gardiner,6000678
Bruce W. Miller,1018314
Brunet,6000679
Burgess,1013980
Burns,6000400
Burrell,6000680
C A Campion,6000781
C B Campion,6000786
C B Lane,5001330
C Barret,6000683
C Cook,4004147
C F Low,6000687
C Gentle & T O'Donnell,5001045
C M Woodford,2001455
C Morisset,5001146
C Nancarrow,6000690
C Olive,1025157
C P Stanton,6000691
C Reid,5001279
C Slayter,1000542
C Trickett,6000693
C Urquart,6000771
C W Smith,2001513
C Yeates,6000695
C. A. Barnard,6000902
C. A. Urquhart,6000784
C. Adamson,1021794
C. Anderson,6000696
C. Baker,6000697
C. Ball,6000698
C. Barnard,6000699
C. Barrett,6000684
C. Burgess,6000701
C. C. Hill,1003442
C. C. King,6000792
C. Chadwick,6000685
C. Codd,1012372
C. Cole,1014260
C. Coles,6000703
C. Cook,4004147
C. Cox,6000704
C. D. Thomas,1023762
C. Davis,6000706
C. Davison,1020823
C. Day,6000707
C. De Plater,6000708
C. Deane,6000709
C. Deuqet,6000710
C. Deuquet,6000711
C. E. Armstrong,6000800
C. E. Chadwick,6000809
C. E. Cole,1003769
C. E. Hagan,1011547
C. E. Hart,6000804
C. E. Little,6000713
C. E. Sims,6000806
C. E. Stoyles,6000808
C. F. Deuquet,6000822
C. F. Garnsey,6000686
C. F. Swynnerton,1024805
C. Fitzsimons,1020824
C. Ford,6000714
C. Franklin,6000715
C. French,6000716
C. French (presented),6000717
C. G.,1011634
C. G. Brooks,1002339
C. G. Jessup,1012831
C. G. L. Gooding,1003439
C. Geissmann,1008052
C. Gibbon,6000719
C. Gibbons,6000688
C. Gibbson,6000721
C. Gibson,6000722
C. Giibons,6000723
C. Goletsos,6000724
C. Hagan,1016453
C. Hagan & I. Graff,6000725
C. Hagan & J. Graff,6000726
C. Hall,6000727
C. Harris,6000728
C. Harslett,6000729
C. Hedley,1002719
C. Hedley & A. Musgrave,6000732
C. Hedley & A.R. McCulloch,1002132
C. Higgins,6000734
C. Hill,6000735
C. Horseman,6000736
C. Horseman & J. Thompson,6000738
C. Hosie,6000834
C. Howard et al,6000739
C. Hyson,6000740
C. Inwood,1018294
C. J. Day,6000841
C. J. McNamara,6000840
C. J. Wild,1009643
C. Jonbert ; Waterhouse Collection,6000741
C. Jonbert; Waterhouse Collection,6000742
C. Jones,1019361
C. Kota,6000743
C. Lambkin,1022020
C. Le Soeuf,6000744
C. Lemann,1018199
C. LeSoeuf,6000745
C. M. Courtois,1020002
C. M. Deland,1012576
C. M. Kelsall,1008074
C. McLachlan,6000853
C. Meyer,6000746
C. Miller,6000747
C. Moinier,1013998
C. Montgomery,6000748
C. Morisset,5001146
C. Mulcahy,1024819
C. Nathan,6000752
C. Oke,6000753
C. Olive,1025157
C. O'Reilley,1017278
C. Owen,1019369
C. Oxton & E. Houghton,6000754
C. P. Ledward,1003881
C. Porter,6000755
"C. Prout, F. Prout and J. Prout",6000756
C. R. Margules,6000887
C. R. Wallace,1017292
C. Reduski,1014728
C. Reid,10001145
C. Reid & B. Day,6000758
C. Ried,6000759
C. Robinson,1018191
C. Rosegger,6000760
C. Rossegger,6000761
C. S. Ashley,6000889
C. S. Betton,1025557
C. S. Jones,6000762
C. S. Reynolds,6000763
C. Slatyer,5008671
C. Slayter,1000542
C. Steinberger,6000765
C. Stone,6000766
C. Stoyles,6000767
C. Symonds,1022298
C. Szaboky,1011143
C. T. McNamara,1002438
C. Tanner,1010708
C. Thackeray,6000768
C. Thorn,1022823
C. Trickett,6000769
C. Uequrat,6000770
C. Urquart,6000771
C. Urquhart,6000694
C. V. Morrisett,6000773
C. W. Frazier,6000896
C. W. O'Brien,1007219
C. W. Smith,6000898
C. W. Wyatt,6000900
C. Wassell,1008053
C. Waterhouse,6000774
C. Weirauch,1020469
C. White,6000776
C. Wilson,6000777
C. Wyatt,6000778
C. Yaldwyn & R. Manray,6000779
C. Young,1024962
C.A. Barnard,6000902
C.A. Campion,6000781
C.A. Faulkner,6000782
C.A. Neave,6000922
C.A.M. Reid,6000783
C.A.P. Urquhart,6000784
C.B.,6000785
C.B. Campion,6000786
C.B. Campion & L.C. Haines,6000787
C.B. Campion & L.M. Courtney Haines,6000788
C.B. Cole,6000789
C.B. Lane,5001330
C.Babaras,6000790
C.Burns,6000791
C.C. Khoo,6002930
C.C. King,6000792
C.C.F. Hill,1003442
C.Clague,6000793
C.D.,6000794
C.D. Howick,6000795
C.D. Michener,6000796
C.D. Michener & Sekhon,6000797
C.D. Thomas,1023762
C.Deuquet,6000799
C.E. Armstrong,6000800
C.E. Chadwick,6000712
C.E. Cole,1003769
C.E. Fahey,6000802
C.E. Hagan,1011547
C.E. Hagan & J. Graff,6000803
C.E. Hart,4001206
C.E. Lazer,1015038
C.E. Simms,6000805
C.E. Sims,6000806
C.E. Sloyles,6000807
C.E. Stoyles,6000808
C.E.Hogan,6000811
C.F Nathan,6000812
C.F.,6000813
C.F. Bornemissza,6000814
C.F. Denquet,6000816
C.F. Deuquet,6000817
C.F. Duquet,6000818
C.F. Garnsey,6000686
C.F. Pratt & J. Pratt,6000820
C.F.M. Swynnerton,1024805
C.G. Brooks,1002339
C.G. Jessup,1012831
C.G.L. Gooding,1003439
C.Gibons,6000825
C.Gunther,6000826
C.H. Baker,1018943
C.H. Hopson,6000827
C.H. Marshall,6000828
C.H. Pedler,6000829
C.H. Seale,6000830
C.H. Wickham,6000831
C.H.S. Watts,6004830
C.H.Wylde,6000833
C.Howard & L.Hill,6000835
C.J. Burwell,1004168
C.J. Johnson,6000836
C.J. Leura,6000837
C.J. M_ller,6000839
C.J. McHaina,6000838
C.J. McNamara,6000840
C.J. Wild,1009643
C.J.R. Day,6000841
C.J.R.J.,6000842
C.J.W.,6000843
C.L.,6000845
C.L. Lambkin,1006850
C.L. Miller,6000847
C.LHoward  et al,6000848
C.M. Courtois,1020002
C.M. Deland,1012576
C.M. Goldfinch,6000849
C.M. Kelsall,1008074
C.M. Woodford,2001455
C.M. Worsfold,6000851
C.N & A.S. Smithers,6000854
C.N. & A.N. Smithers,6000855
C.N. & A.S. & Smithers,6000856
C.N. & A.S. Smithers,6000004
C.N. & A.S. Smithers & R Duckworth,6000858
"C.N. & A.S. Smithers, B. Duckworth",6000859
C.N. & G.F. Smithers,6000860
C.N. & H.G. Smithers,6000861
C.N. & S Smithers,6000862
C.N. Fraser & Company,6000863
C.N. Nathan,6000864
C.N. Smithers,5001148
C.N. Smithers  J.V. Peters,6000866
C.N. Smithers & A.S. Smithers,6000867
C.N. Smithers & B.J. Day,6000868
C.N. Smithers & G.A. Holloway,6000869
C.N. Smithers & H. Hughes,6000870
C.N. Smithers & I.W.B. Thornton,6000871
C.N. Smithers & J. Walsh,6000872
C.N. Smithers & J.V. Peters,6000873
C.N. Smithers & R.D. Brewer,6000874
C.N. Smithers & T. Walsh,6000875
"C.N. Smithers, J. Walsh",6000876
C.N.& A.S. Smithers,6000877
"C.N., A.S. & G.N. Smithers",6000878
C.N.Smithers & G.A. Holloway,6000880
C.N.Smithers & R Brewer,6000881
C.O. Berg,6000882
C.O. Hamblin,6000883
C.P. Ledward,1003881
C.P. Whitley,6000886
C.R. Margules,6000887
C.R. Wallace,1017292
C.S. Ashley,6000889
C.S. Betton,1025557
C.S.I.R.O. Exp. V.J. Robinson,6000890
C.T. McNamara,1002438
C.V. Morissett,6000894
C.V. Nathan,6000895
C.W. Frazier,6000896
C.W. McCubbin,6000897
C.W. O'Brien,1007219
C.W. Smith,2001513
C.W. Woodhouse,6000899
C.W. Wyatt,6000900
Cali (?) Exp.,6000918
Calvert Exped.,6000919
"Cameron , Cogger , Heatw",2001537
Campbell,6000920
Capt. E. H. Andrew,6000923
Capt. W.A. Lamboyn,6000925
Captain C. A. Neave,6000922
Captain H. C. Saunders,1024798
Captain L G. Packmar,1025322
Captain S. A. White,6000924
Carnaby,6000926
Carne,6000927
"Carne, Helman & Greaves",6000928
Carnford,6000930
Caryley,6000934
Castleman,6000311
Cate Inwood,1018294
Cate Lemann,1018199
CBCR Australian Museum,1002467
Celia Jones,1019361
Celia Symonds,1022298
CENTRAL COAST WIRES,3001405
CF Garnsey,6000905
Chadwick,1018647
Charles Hedley,1002719
Charlton :G.A. Waterhouse collection,6000937
Chaseling,5006039
Chi C. Khoo,6002930
Chikakura,1025647
Chris J. M_ller,6000839
Christiane Weirauch,1020469
"Christie, Flemmons & Elliott",6000941
"Christie, Flemons & Elliott",6000942
"Christies, Flemmons & Elliott",6000943
